Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000316292229721025,0.000611724643327152,0.213081217815062,0,0,0,3.57530804515863,0.110715360083667,1.99698397001108E-07,-0.000187556798041249,0.110452120670841,9.86207728667352E-05,0.00261525910501462,0,0,0,0,0,0,package://ARM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ARM/meshes/base_link.STL,,J1BASE-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
J1,0.000316292229721024,0.000611724643327153,0.208581217815062,0,0,0,3.57530804515863,0.110715360083667,1.99698397001487E-07,-0.000187556798041249,0.110452120670841,9.86207728667347E-05,0.00261525910501462,0,0,0,0,0,0,package://ARM/meshes/J1.STL,1,1,1,1,0,0,0,0,0,0,package://ARM/meshes/J1.STL,,J2-2,坐标系1,基准轴2,J1,revolute,0,0,0.0045,0,0,0,base_link,0,0,1,0,0,-4.71,4.71,,,,,,,,
J2,-0.000315829329359078,-0.14348121784581,-0.000611724643327245,0,0,0,3.57530804515863,0.110715360120185,-0.000187546274062507,1.99688795872927E-07,0.00261525906849683,9.86207728861282E-05,0.110452120670841,0,0,0,0,0,0,package://ARM/meshes/J2.STL,1,1,1,1,0,0,0,0,0,0,package://ARM/meshes/J2.STL,,J3-2,坐标系3,基准轴3,J2,revolute,0,0,0.0651,-1.5708,0,-3.1416,J1,0,0,1,0,0,-4.71,4.71,,,,,,,,
J3,-0.000611724643327671,0.000316292229720983,0.0125085757726616,0,0,0,3.57530804515863,0.110452120670841,-1.99698397000572E-07,-9.86207728664461E-05,0.110715360083667,-0.000187556798041212,0.00261525910501462,0,0,0,0,0,0,package://ARM/meshes/J3.STL,1,1,1,1,0,0,0,0,0,0,package://ARM/meshes/J3.STL,,J4-1,坐标系4,基准轴4,J3,revolute,0,-0.13097,0,1.5708,-1.5708,0,J2,0,0,1,0,0,-4.71,4.71,,,,,,,,
J4,0.000255245608726876,-0.102058257967522,-0.000611724643327245,0,0,0,3.57530804515863,0.110715360083667,-0.000187556798041251,-1.99698397001027E-07,0.00261525910501462,-9.86207728666872E-05,0.110452120670841,0,0,0,0,0,0,package://ARM/meshes/J4.STL,1,1,1,1,0,0,0,0,0,0,package://ARM/meshes/J4.STL,,J5t-1,坐标系5,基准轴5,J4,revolute,0,6.1047E-05,0.11457,1.5708,0,1.5708,J3,0,0,-1,0,0,-4.71,4.71,,,,,,,,
J5,0.000316292229720947,0.000611724644171984,-0.223393774313701,0,0,0,3.57530804515863,0.110715360083667,1.99698396241177E-07,-0.000187556798041252,0.110452120670842,9.86207724298961E-05,0.00261525910501382,0,0,0,0,0,0,package://ARM/meshes/J5.STL,1,1,1,1,0,0,0,0,0,0,package://ARM/meshes/J5.STL,,J6-1,坐标系6,基准轴6,J5,revolute,-6.1047E-05,0.12134,0,-1.5708,0,0,J4,0,0,1,0,0,-4.71,4.71,,,,,,,,
J6,7.12657008552315E-09,0.0213446329881337,-0.0121523647950665,0,0,0,0.0596828739578881,2.66893847532864E-05,-3.70911477775847E-12,3.17285138880359E-12,2.22221774028086E-05,8.14833080528861E-06,2.10723078887235E-05,0,0,0,0,0,0,package://ARM/meshes/J6.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://ARM/meshes/J6.STL,,END-1,坐标系7,基准轴7,J6,revolute,0.020062,0.00039936,0.1133,1.5708,0,1.5708,J5,0,0,1,0,0,-1.57,1.57,,,,,,,,
